video_path,threads,microseconds
videos/small_video.mp4,1,734688|625782|805764
videos/small_video.mp4,2,710981|689679|662036
videos/small_video.mp4,3,768346|873316|660106
videos/small_video.mp4,4,738996|731909|816426
videos/small_video.mp4,5,677357|809933|757724
videos/small_video.mp4,6,801826|694544|787797
videos/small_video.mp4,7,857893|769305|690096
videos/small_video.mp4,8,784307|825781|689535
videos/small_video.mp4,9,735441|842061|757111
videos/small_video.mp4,10,681601|743332|791154
videos/small_video.mp4,11,762237|790700|900877
videos/small_video.mp4,12,827156|750544|897198
videos/small_video.mp4,13,803203|805939|772737
videos/small_video.mp4,14,841953|809826|651209
videos/small_video.mp4,15,893192|835315|863844
videos/small_video.mp4,16,699816|799590|799972
videos/small_video.mp4,17,740546|722977|920342
videos/small_video.mp4,18,824518|755658|946023
videos/small_video.mp4,19,941457|837531|743570
videos/small_video.mp4,20,916261|831683|737853
videos/small_video.mp4,21,895819|801940|821898
videos/small_video.mp4,22,752716|970047|895412
videos/small_video.mp4,23,804318|915226|885532
videos/small_video.mp4,24,900689|768214|910531
videos/small_video.mp4,25,886116|757368|865104
videos/small_video.mp4,26,944187|841442|817906
videos/small_video.mp4,27,979720|875648|728471
videos/small_video.mp4,28,841266|856288|930771
videos/small_video.mp4,29,732187|1031615|952060
videos/small_video.mp4,30,867067|1014615|959818
videos/small_video.mp4,31,860037|741576|1020844
videos/small_video.mp4,32,915347|753456|947600
videos/small_video.mp4,33,1020222|854369|918151
videos/small_video.mp4,34,897064|905595|758647
videos/large_video.mp4,1,5584164|5518572|5256390
videos/large_video.mp4,2,4970196|5219061|5427293
videos/large_video.mp4,3,5086797|5346342|5206856
videos/large_video.mp4,4,5591611|5049620|4815654
videos/large_video.mp4,5,4881642|4813552|5225914
videos/large_video.mp4,6,5168604|4888435|4977228
videos/large_video.mp4,7,5007324|5060580|5191868
videos/large_video.mp4,8,5243132|4706672|4971717
videos/large_video.mp4,9,4843158|4847760|5156116
videos/large_video.mp4,10,4819001|4896983|5043198
videos/large_video.mp4,11,4852389|4945266|4919807
videos/large_video.mp4,12,4764991|5144215|5081482
videos/large_video.mp4,13,4876843|5222268|4897885
videos/large_video.mp4,14,5133927|4929954|4832353
videos/large_video.mp4,15,4982256|4946965|4870705
videos/large_video.mp4,16,5067436|5046066|5043646
videos/large_video.mp4,17,4969971|4887133|4962711
videos/large_video.mp4,18,4933995|4787625|5067327
videos/large_video.mp4,19,5157982|5069684|5030832
videos/large_video.mp4,20,4682026|5060724|5192302
videos/large_video.mp4,21,5216822|5031202|4934509
videos/large_video.mp4,22,5046761|4828336|5129306
videos/large_video.mp4,23,5082316|5365308|5353063
videos/large_video.mp4,24,5214998|4894219|5261773
videos/large_video.mp4,25,5377383|4919016|4983756
videos/large_video.mp4,26,5114005|4995723|5266811
videos/large_video.mp4,27,4994345|5207259|5211128
videos/large_video.mp4,28,5378084|5120489|5517643
videos/large_video.mp4,29,5189149|5352808|5346874
videos/large_video.mp4,30,5376312|5212184|5193760
videos/large_video.mp4,31,5352843|5348174|5100921
videos/large_video.mp4,32,5454187|4998783|5630358
videos/large_video.mp4,33,5276589|5144139|5139494
videos/large_video.mp4,34,5226087|5219849|5317941
